School Name,BoroughCode,Geographical District,Project Description,Construction Award,Project type,Building ID,Building Address,City,Postcode,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location 1,Data As Of
P.S. 42 - QUEENS,Q,27,SANDY:INT/HEATING/FLOOD/CLIMATE/PIPING/HVAC/ELEC,"15,125,767",CIP,Q042,488 BEACH 66 STREET,Queens,11692,QUEENS   ,40.594538,-73.795304,14,31,964,4302817,4160390014,Hammels-Arverne-Edgemere                                                   ,"(40.594538, -73.795304)",11/13/2017
AVIATION HS - QUEENS,Q,24,FUEL FIRE/ROOFS/PARAPETS/MSNRY/ FLOOD/GYM UPG/WIN,"17,941,252",CIP,Q610,45-30 36 STREET,Queens,11101,QUEENS   ,40.743509,-73.929076,2,26,179,4436685,4002260001,Hunters Point-Sunnyside-West Maspeth                                       ,"(40.743509, -73.929076)",11/13/2017
P.S. 55 - BRONX,X,9,MASONRY/WINDOWS/ROOFS/PARAPETS,"15,821,492",CIP,X055,450 ST PAULS PLACE,Bronx,10456,BRONX    ,40.836404,-73.905014,3,16,"14,702",2009463,2029020001,Claremont-Bathgate                                                         ,"(40.836404, -73.905014)",11/13/2017
P.S. 44 - STATEN ISLAND,R,31,REPAIR-CERTIFICATE OF OCCUPANCY,"1,270,000",CIP,R044,80 MAPLE PARKWAY,Staten Island,10303,STATEN IS,40.63179,-74.156439,1,49,231,5027641,5012180001,Mariner's Harbor-Arlington-Port Ivory-Graniteville                         ,"(40.63179, -74.156439)",
P.S. 48 - BROOKLYN,K,20,FLOOD ELIMINATION/EXTERIOR MASONRY/WINDOWS,"10,800,000",CIP,K048,6015 18 AVENUE,Brooklyn,11204,BROOKLYN ,40.621871,-73.987396,12,44,244,3132140,3055190001,Borough Park                                                               ,"(40.621871, -73.987396)",11/13/2017
P.S. 236 - BRONX,X,9,FALLING COPING STONES/EXT MASONRY,"2,589,000",CIP,X173,1871 WALTON AVENUE,Bronx,10453,BRONX    ,40.848899,-73.909528,5,14,"23,301",2098479,2028510021,Mount Hope                                                                 ,"(40.848899, -73.909528)",11/13/2017
P.S. 160 - QUEENS,Q,28,CHIMNEY/ROOFS/PARAPETS/FLOOD,"9,370,000",CIP,Q160,109-59 INWOOD STREET,Queens,11435,QUEENS   ,40.688103,-73.800415,12,28,196,4258143,4119420302,South Jamaica                                                              ,"(40.688103, -73.800415)",11/13/2017
P.S. 114 - BROOKLYN,K,18,EXTERIOR MASONRY,"2,188,000",CIP,K114,1077 REMSEN AVENUE,Brooklyn,11236,BROOKLYN ,40.642792,-73.908806,18,46,964,3229159,3081600022,Canarsie                                                                   ,"(40.642792, -73.908806)",11/13/2017
BKLYN STUDIO SEC. SCL - BROOKL,K,21,EXT MASONRY/ROOFS/WINDOWS,"6,137,000",CIP,K721,8310 21ST AVE,Brooklyn,11214,BROOKLYN ,40.604879,-73.994404,11,47,288,3165232,3063290032,Bensonhurst West                                                           ,"(40.604879, -73.994404)",11/13/2017
P.S. 131 - BROOKLYN,K,15,WATER PENETRATION/FLOOD/PARAPETS/ROOFS,"12,900,000",CIP,K131,4305 FT HAMILTON PKWY,Brooklyn,11219,BROOKLYN ,40.641157,-73.993482,12,39,224,3136085,3056030001,Borough Park                                                               ,"(40.641157, -73.993482)",11/13/2017
P.S. 128 - MANHATTAN,M,6,PLANYC BOILER CNVSN/PLANYC CLIMATE CTRL,"6,790,000",CIP,M128,560 WEST 169 STREET,Manhattan,10032,MANHATTAN,40.841321,-73.938506,12,10,251,1062994,1021250001,Washington Heights South                                                   ,"(40.841321, -73.938506)",
P.S. 298 - QUEENS,Q,24,New,"76,850,000",CAP,Q298,50-51 98TH STREET,Queens,11368,QUEENS   ,40.742167,-73.864109,4,21,"44,302",4046832,4018910001,Corona                                                                     ,"(40.742167, -73.864109)",
P.S. 332 - QUEENS,Q,26,New,"66,643,000",CAP,Q332,210-07 48TH AVENUE,Queens,11364,QUEENS   ,40.754954,-73.770314,11,19,"1,447",4157240,4073270049,Bayside-Bayside Hills                                                      ,"(40.754954, -73.770314)",
P.S. 40 - MANHATTAN,M,2,FY16 RESO A ROOFTOP PLAYGROUND,"311,000",CIP,M040,319 EAST 19 STREET,Manhattan,10003,MANHATTAN,40.735161,-73.982027,6,2,64,1020513,1009250012,Gramercy                                                                   ,"(40.735161, -73.982027)",
BAYSIDE HIGH SCHOOL - QUEENS,Q,26,TCU REMOVAL/PLAYGROUND REDEVELOPMENT,"853,000",CIP,Q405,32-24 CORPORAL KENNEDY STREET,Queens,11361,QUEENS   ,40.771755,-73.780296,11,19,"1,097",4134578,4060440001,Bayside-Bayside Hills                                                      ,"(40.771755, -73.780296)",
P.S. 46 - BRONX,X,10,Demo,"2,775,000",CAP,X046,279 EAST 196 STREET,Bronx,10458,BRONX    ,40.866827,-73.890725,7,15,"40,501",2094729,2032950001,Bedford Park-Fordham North                                                 ,"(40.866827, -73.890725)",
P.S. 108 - MANHATTAN,M,4,PLANYC BOILER/PLANC CLIMATE CTRL/LOW VOLT/KITCHEN,"6,384,000",CIP,M108,1615 MADISON AVENUE,Manhattan,10029,MANHATTAN,40.795146,-73.948368,11,8,"17,401",1051584,1016140021,East Harlem South                                                          ,"(40.795146, -73.948368)",
I.S. 339 - BRONX,X,9,RENEWAL SCHOOL BASED HEALTH CENTER,"1,920,000",CIP,X147,1600 WEBSTER AVENUE,Bronx,10457,BRONX    ,40.840878,-73.904754,3,16,167,2009400,2028970005,Claremont-Bathgate                                                         ,"(40.840878, -73.904754)",11/13/2017
AVIATION HS - QUEENS,Q,24,FY16 RESO A ROOM CONVERSIONS / PART,"146,000",CIP,Q610,45-30 36 STREET,Queens,11101,QUEENS   ,40.743509,-73.929076,2,26,179,4436685,4002260001,Hunters Point-Sunnyside-West Maspeth                                       ,"(40.743509, -73.929076)",
J.H.S. 57 - BROOKLYN,K,16,PUBLIC ADDRESS SYSTEM REPLACEMENT,"590,000",CIP,K057,125 STUYVESANT AVENUE,Brooklyn,11221,BROOKLYN ,40.691274,-73.933697,3,36,291,3043822,3016160001,Stuyvesant Heights                                                         ,"(40.691274, -73.933697)",
HS FOR ENVIRONMENTAL STUDIES -,M,2,6TH FLOOR EGRESS/FIRE ALARM,"3,621,000",CIP,M834,444 WEST 56 STREET,Manhattan,10019,MANHATTAN,40.767791,-73.987531,4,3,139,1026841,1010650001,Clinton                                                                    ,"(40.767791, -73.987531)",11/13/2017
BAYARD RUSTIN EDUCATIONAL COMP,M,2,SCIENCE LAB UPGRADE,"4,222,000",CIP,M440,351 WEST 18 STREET,Manhattan,10011,MANHATTAN,40.742867,-74.002136,4,3,89,1013096,1007420007,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.742867, -74.002136)",
P.S. 60 - STATEN ISLAND,R,31,FY17 RESO A AUDITORIUM UPGRADE,"269,000",CIP,R060,55 MERRILL AVENUE,Staten Island,10314,STATEN IS,40.610087,-74.162216,2,50,"29,104",5031151,5015800044,New Springville-Bloomfield-Travis                                          ,"(40.610087, -74.162216)",11/13/2017
CSI HS FOR INTERNATIONAL STUDI,R,31,PLAYGROUND REDEVELOPMENT,"2,923,000",CIP,R043,100 ESSEX DRIVE,Staten Island,10314,STATEN IS,40.581315,-74.158589,2,51,"27,702",5149609,5024500320,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   ,"(40.581315, -74.158589)",
ISHS @ M837,M,78,Lease,"13,694,000",CAP,M837,227-243 WEST 61 STREET,Manhattan,10023,MANHATTAN,40.772007,-73.987479,7,6,151,1030328,1011540108,Lincoln Square                                                             ,"(40.772007, -73.987479)",
P.S. 188 - BROOKLYN,K,21,SANDY:INT/HEATING/ELEC/FLOOD/CLIMATE/VENT/FA,"13,757,000",CIP,K188,3314 NEPTUNE AVENUE,Brooklyn,11224,BROOKLYN ,40.577217,-74.000194,13,47,328,3188726,3070060001,Seagate-Coney Island                                                       ,"(40.577217, -74.000194)",11/13/2017
J.H.S. 47 (SCH FOR THE DEAF) -,M,2,PARAPETS/WINDOWS/EXTERIOR MASONRY,"2,654,000",CIP,M047,223 EAST 23 STREET,Manhattan,10010,MANHATTAN,40.738548,-73.982455,6,2,64,,,Gramercy                                                                   ,"(40.738548, -73.982455)",
P.S. 11 - QUEENS,Q,30,Addition,"91,875,000",CAP,Q011,54-25 SKILLMAN AVENUE,Queens,11377,QUEENS   ,40.745244,-73.90872,2,26,251,4552510,4012390001,Woodside                                                                   ,"(40.745244, -73.90872)",11/13/2017
